date, pm25, pm10, o3, no2, so2, co
2022/3/7, 52, 44, 19, 34, 12, 9
2022/3/8, 84, 38, 15, 34, 13, 7
2022/3/9, 61, 31, 7, 32, 13, 7
2022/3/10, 51, 30, 7, 33, 12, 8
2022/3/11, 50, 23, 8, 21, 12, 4
2022/3/12, 38, 22, 7, 23, 12, 5
2022/3/13, 36, 25, 7, 27, 12, 8
2022/3/14, 41, 52, 11, 35, 12, 9
2022/3/15, 93, 40, 7, 26, 12, 7
2022/3/16, 69, 36, 8, 24, 12, 9
2022/3/17, 61, 51, 9, 29, 13, 10
2022/3/18, 93, 34, 8, 21, 12, 7
2022/3/19, 59, 39, 7, 16, 12, 4
2022/3/20, 64, 41, 9, 21, 12, 7
2022/3/21, 70, 40, 11, 25, 12, 9
2022/3/22, 69, 17, 9, 15, 12, 4
2022/3/23, 32, 40, 7, 24, 13, 9
2022/3/24, 70, 38, 6, 28, 12, 11
2022/3/25, 69, 51, 19, 27, 12, 9
2022/3/26, 94, 29, 9, 21, 14, 5
2022/3/27, 50, 36, 7, 28, 13, 8
2022/3/28, 62, 53, 3, 39, 16, 12
2022/3/29, 99, 49, 6, 31, 13, 10
2022/3/30, 98, 28, 10, 30, 13, 9
2022/3/31, 51, 6, 18, 12, 12, 3
2021/10/1, 33, 18, 19, 16, 10, 6
2021/10/2, 29, 23, 32, 19, 10, 7
2021/10/3, 36, 16, 31, 21, 10, 8
2021/10/4, 27, 17, 26, 21, 10, 7
2021/10/5, 27, 51, 35, 22, 10, 7
2021/10/6, 89, 53, 44, 21, 10, 8
2021/10/7, 99, 38, 42, 16, 10, 4
2021/10/8, 65, 25, 22, 13, 10, 4
2021/10/9, 43, 9, 22, 6, 9, 2
2021/10/10, 17, 10, 19, 11, 9, 4
2021/10/11, 19, 15, 32, 9, 10, 3
2021/10/12, 23, 16, 13, 13, 10, 3
2021/10/13, 24, 9, 15, 9, 9, 2
2021/10/14, 15, 9, 12, 11, 9, 3
2021/10/15, 16, 10, 17, 11, 9, 4
2021/10/16, 18, 9, 16, 10, 10, 3
2021/10/17, 14, 11, 9, 12, , 4
2021/10/18, 21, 30, 12, 25, 9, 10
2021/10/19, 51, 43, 21, 28, 10, 9
2021/10/20, 80, 26, 17, 14, 10, 5
2021/10/21, 43, 17, 23, 13, 10, 4
2021/10/22, 26, 36, 36, 22, 10, 5
2021/10/23, 61, 42, 43, 20, 10, 5
2021/10/24, 73, 51, 56, 33, 11, 11
2021/10/25, 93, 67, 66, 39, 14, 11
2021/10/26, 130, 56, 66, 35, 11, 10
2021/10/27, 107, 55, 21, 27, 11, 7
2021/10/28, 109, 18, 21, 17, 10, 5
2021/10/29, 35, 10, 18, 11, 10, 4
2021/10/30, 19, 22, 13, 13, 10, 6
2021/10/31, 41, 15, 9, 14, 10, 6
2021/11/1, 29, 21, 8, 15, 10, 7
2021/11/2, 39, 36, 11, 27, 11, 12
2021/11/3, 63, 28, 13, 23, 10, 7
2021/11/4, 45, 27, 13, 19, 10, 5
2021/11/5, 43, 27, 8, 19, 10, 5
2021/11/6, 41, 30, 9, 20, 10, 7
2021/11/7, 46, 20, 14, 11, 10, 3
2021/11/8, 34, 39, 19, 23, 12, 5
2021/11/9, 63, 36, 22, 23, 11, 5
2021/11/10, 62, 52, 23, 30, 12, 7
2021/11/11, 96, 53, 24, 24, 13, 5
2021/11/12, 99, 39, 25, 19, 11, 4
2021/11/13, 69, 57, 27, 25, 12, 7
2021/11/14, 116, 66, 16, 40, 16, 9
2021/11/15, 133, 71, 9, 35, 13, 8
2021/11/16, 152, 52, 8, 18, 11, 6
2021/11/17, 110, 21, 16, 12, 10, 4
2021/11/18, 37, 57, 9, 41, 13, 13
2021/11/19, 111, 51, 10, 22, 10, 7
2021/11/20, 102, 34, 10, 17, 10, 5
2021/11/21, 57, 24, 13, 14, 11, 4
2021/11/22, 36, 30, 13, 13, 10, 3
2021/11/23, 51, 38, 15, 16, 11, 6
2021/11/24, 64, 51, 11, 27, 11, 9
2021/11/25, 96, 57, 16, 27, 11, 8
2021/11/26, 115, 54, 28, 23, 12, 5
2021/11/27, 104, 74, 8, 24, 14, 7
2021/11/28, 157, 55, 27, 53, 12, 17
2021/11/29, 103, 53, 23, 25, 16, 6
2021/11/30, 100, 46, 26, 27, 13, 7
2021/12/1, 86, 61, 29, 34, 15, 9
2021/12/2, 124, 64, 26, 41, 13, 14
2021/12/3, 129, 53, 26, 50, 14, 16
2021/12/4, 108, 61, 30, 39, 13, 9
2021/12/5, 132, 70, 29, 41, 13, 12
2021/12/6, 144, 71, 24, 42, 17, 10
2021/12/7, 144, 73, 22, 48, 17, 11
2021/12/8, 149, 73, 17, 31, 12, 7
2021/12/9, 154, 75, 20, 34, 14, 8
2021/12/10, 153, 62, 17, 39, 11, 10
2021/12/11, 128, 61, 24, 25, 12, 7
2021/12/12, 124, 34, 14, 22, 12, 7
2021/12/13, 64, 65, 38, 34, 13, 10
2021/12/14, 141, 69, 14, 45, 16, 13
2021/12/15, 150, 62, 17, 43, 12, 15
2021/12/16, 131, 57, 17, 27, 12, 8
2021/12/17, 114, 39, 18, 20, 12, 5
2021/12/18, 74, 55, 14, 26, 13, 6
2021/12/19, 113, 62, 17, 28, 15, 7
2021/12/20, 130, 57, 15, 32, 12, 8
2021/12/21, 115, 74, 17, 41, 12, 10
2021/12/22, 152, 55, 15, 41, 14, 9
2021/12/23, 116, 51, 13, 40, 14, 11
2021/12/24, 109, 52, 10, 38, 14, 10
2021/12/25, 114, 49, 10, 27, 15, 7
2021/12/26, 98, 17, 3, 12, 11, 5
2021/12/27, 32, 20, 11, 18, 12, 5
2021/12/28, 37, 32, 6, 18, 12, 5
2021/12/29, 57, 41, 11, 15, 11, 5
2021/12/30, 73, 54, 7, 18, 11, 7
2021/12/31, 102, 65, 7, 16, 13, 6
2022/1/1, 137, 58, 14, 25, 12, 9
2022/1/2, 103, 95, 8, 35, 12, 11
2021/7/1, 14, 15, 19, 11, 8, 5
2021/7/2, 12, 17, 23, 10, 8, 5
2021/7/3, 18, 15, 22, 10, 8, 6
2021/7/4, 18, 11, 21, 11, 8, 7
2021/7/5, 13, 16, 25, 11, 8, 9
2021/7/6, 19, 16, 21, 11, 8, 6
2021/7/7, 22, 9, 20, 11, 7, 10
2021/7/8, 14, 11, 17, 11, 8, 7
2021/7/9, 15, 14, 17, 11, 8, 7
2021/7/10, 18, 12, 17, 11, 8, 5
2021/7/11, 16, 13, 18, 17, 9, 5
2021/7/12, 17, 12, 18, 16, 9, 3
2021/7/13, 16, 12, 18, 16, 9, 4
2021/7/14, 16, 10, 18, 17, 8, 5
2021/7/15, 13, 15, 18, 21, 9, 7
2021/7/16, 19, 15, 17, 21, 9, 5
2021/7/17, 19, 12, 19, 21, 8, 6
2021/7/18, 18, 23, 16, 26, 9, 8
2021/7/19, 35, 20, 26, 22, 8, 5
2021/7/20, 33, 12, 24, 18, 8, 4
2021/7/21, 20, 22, 20, 23, 8, 7
2021/7/22, 35, 10, 18, 17, 8, 6
2021/7/23, 18, 13, 19, 13, 8, 4
2021/7/24, 21, 15, 28, 14, 8, 3
2021/7/25, 23, 13, 40, 12, 8, 3
2021/7/26, 21, 9, 29, 12, 8, 3
2021/7/27, 14, 13, 28, 13, 8, 3
2021/7/28, 22, 18, 28, 14, 8, 4
2021/7/29, 34, 21, 32, 16, 8, 4
2021/7/30, 38, 14, 31, 17, 9, 3
2021/7/31, 24, 6, 22, 11, 8, 2
2021/8/1, 10, 12, 29, 20, 9, 3
2021/8/2, 20, 15, 39, 21, 9, 3
2021/8/3, 26, 21, 37, 12, 9, 4
2021/8/4, 39, 21, 34, 15, 9, 4
2021/8/5, 38, 23, 26, 14, 9, 4
2021/8/6, 41, 13, 29, 13, 10, 3
2021/8/7, 22, 24, 25, 14, 9, 4
2021/8/8, 44, 41, 24, 16, 9, 5
2021/8/9, 77, 16, 20, 17, 9, 4
2021/8/10, 32, 19, 20, 13, 9, 4
2021/8/11, 36, 21, 21, 15, 9, 4
2021/8/12, 41, 23, 20, 16, 10, 4
2021/8/13, 42, 26, 23, 13, 9, 3
2021/8/14, 50, 9, 21, 14, 9, 3
2021/8/15, 22, 14, 22, 15, 9, 4
2021/8/16, 17, 1, 24, 11, 9, 3
2021/8/17, 2, 1, 22, 14, 9, 3
2021/8/18, 2, 53, 21, 15, 10, 3
2021/8/19, 84, 22, 24, 13, 9, 3
2021/8/20, 40, 33, 25, 11, 9, 2
2021/8/21, 57, 62, 24, 9, 9, 2
2021/8/22, 116, 20, 24, 14, 10, 3
2021/8/23, 28, 17, 22, 14, 9, 4
2021/8/24, 26, 10, 20, 11, 9, 3
2021/8/25, 15, 11, 19, 14, 9, 4
2021/8/26, 16, 10, 21, 14, 10, 3
2021/8/27, 16, 8, 25, 13, 9, 2
2021/8/28, 13, , 31, 13, 11, 2
2021/8/30, 15, 12, 27, 15, 9, 3
2021/8/31, 19, 15, 35, 15, 10, 3
2021/9/1, 23, 13, 28, 10, 9, 2
2021/9/2, 22, 17, 27, 12, 10, 3
2021/9/3, 27, 12, 28, 11, 9, 3
2021/9/4, 21, 7, 21, 11, 9, 3
2021/9/5, 11, 14, 36, 14, 9, 3
2021/9/6, 22, 19, 20, 15, 9, 4
2021/9/7, 32, 12, 20, 13, 9, 4
2021/9/8, 20, 4, 27, 14, 9, 4
2021/9/9, 7, 10, 36, 15, 9, 5
2021/9/10, 16, 16, 59, 14, 9, 4
2021/9/11, 26, 26, 105, 14, 10, 4
2021/9/12, 42, 27, 36, 15, 9, 5
2021/9/13, 44, 15, 22, 14, 9, 4
